18.71 11.19 3.97 -2.79 -27.84 -40.13 -44.25 -43.85 -41.20 -37.58 -33.70 -29.92 -26.41 -23.25 -20.44 -17.96 -15.80 -13.90 -12.25 -10.81 -9.54 -8.44 -7.47 -6.61 -5.86 -5.20 -4.61 -4.08 -3.61 -3.20 -2.82 -2.48 -2.18 -1.91 -1.66 -1.44 -1.23 -1.05 -0.88 -0.73 -0.59 -0.46 -0.34
18.93 11.57 4.51 -2.09 -26.55 -38.61 -42.73 -42.45 -39.95 -36.50 -32.77 -29.13 -25.75 -22.69 -19.96 -17.56 -15.45 -13.61 -12.00 -10.59 -9.36 -8.28 -7.33 -6.49 -5.75 -5.10 -4.52 -4.01 -3.55 -3.14 -2.77 -2.44 -2.14 -1.87 -1.63 -1.41 -1.21 -1.03 -0.86 -0.71 -0.57 -0.44 -0.32
19.14 11.93 5.02 -1.42 -25.32 -37.15 -41.27 -41.09 -38.75 -35.45 -31.88 -28.37 -25.10 -22.14 -19.50 -17.16 -15.12 -13.32 -11.75 -10.38 -9.17 -8.12 -7.19 -6.37 -5.65 -5.01 -4.44 -3.94 -3.49 -3.08 -2.72 -2.39 -2.10 -1.84 -1.60 -1.38 -1.18 -1.00 -0.84 -0.69 -0.55 -0.42 -0.31
19.34 12.28 5.52 -0.78 -24.13 -35.74 -39.86 -39.79 -37.59 -34.44 -31.01 -27.63 -24.48 -21.61 -19.05 -16.78 -14.79 -13.04 -11.51 -10.17 -9.00 -7.96 -7.06 -6.25 -5.55 -4.92 -4.36 -3.87 -3.42 -3.03 -2.67 -2.35 -2.06 -1.80 -1.57 -1.35 -1.16 -0.98 -0.82 -0.67 -0.53 -0.41 -0.29
19.54 12.61 6.00 -0.16 -22.99 -34.39 -38.50 -38.53 -36.46 -33.47 -30.17 -26.92 -23.87 -21.09 -18.61 -16.41 -14.47 -12.77 -11.28 -9.97 -8.82 -7.81 -6.92 -6.14 -5.45 -4.83 -4.28 -3.80 -3.36 -2.97 -2.62 -2.31 -2.02 -1.77 -1.53 -1.32 -1.13 -0.95 -0.79 -0.65 -0.51 -0.39 -0.28
19.72 12.94 6.46 0.44 -21.89 -33.09 -37.19 -37.31 -35.38 -32.52 -29.36 -26.22 -23.28 -20.59 -18.18 -16.04 -14.16 -12.50 -11.05 -9.77 -8.65 -7.66 -6.79 -6.03 -5.35 -4.74 -4.21 -3.73 -3.30 -2.92 -2.57 -2.26 -1.98 -1.73 -1.50 -1.29 -1.10 -0.93 -0.77 -0.63 -0.50 -0.37 -0.26
19.90 13.25 6.91 1.01 -20.83 -31.84 -35.93 -36.13 -34.33 -31.60 -28.57 -25.55 -22.70 -20.10 -17.76 -15.69 -13.85 -12.24 -10.82 -9.58 -8.48 -7.52 -6.67 -5.92 -5.25 -4.66 -4.13 -3.66 -3.24 -2.87 -2.53 -2.22 -1.95 -1.70 -1.47 -1.27 -1.08 -0.91 -0.75 -0.61 -0.48 -0.36 -0.25
20.08 13.55 7.34 1.57 -19.81 -30.63 -34.71 -35.00 -33.31 -30.72 -27.81 -24.90 -22.14 -19.62 -17.36 -15.34 -13.56 -11.99 -10.61 -9.39 -8.32 -7.38 -6.54 -5.81 -5.15 -4.57 -4.06 -3.60 -3.18 -2.81 -2.48 -2.18 -1.91 -1.66 -1.44 -1.24 -1.06 -0.89 -0.73 -0.59 -0.46 -0.34 -0.23
20.25 13.83 7.75 2.10 -18.83 -29.47 -33.54 -33.90 -32.33 -29.86 -27.07 -24.26 -21.60 -19.16 -16.96 -15.00 -13.27 -11.74 -10.39 -9.20 -8.16 -7.24 -6.42 -5.70 -5.06 -4.49 -3.99 -3.53 -3.13 -2.76 -2.44 -2.14 -1.87 -1.63 -1.41 -1.21 -1.03 -0.86 -0.71 -0.57 -0.45 -0.33 -0.22
20.41 14.11 8.15 2.61 -17.89 -28.35 -32.41 -32.85 -31.38 -29.03 -26.35 -23.65 -21.08 -18.71 -16.58 -14.68 -12.99 -11.50 -10.18 -9.02 -8.00 -7.10 -6.30 -5.60 -4.97 -4.41 -3.91 -3.47 -3.07 -2.71 -2.39 -2.10 -1.84 -1.60 -1.38 -1.19 -1.01 -0.84 -0.69 -0.56 -0.43 -0.31 -0.21
